Source	Relation	Target	Sites	Source data ID	Source change	 Source change pval	Target data ID	Target change	Target change pval
RPS6KA3	phosphorylates	YBX1	S102	RPS6KA3-T365-S369	-4.409268690518191	0.012164070778250262	YBX1-S102	-6.0444939031988945	0.00237088043040269
DYRK1A	phosphorylates	MAP1B	S1400	DYRK1A-Y321-S324	-4.491526399630454	0.011203529687842072	MAP1B-S1400	-4.589183666367752	0.010161149876979567
MYC	upregulates-expression	CHEK2		MYC-S71	-5.023834137754332	0.006579252527418794	CHEK2	-100.0	0.0
ATM	phosphorylates	SMC3	S1083	ATM-S1981	-4.504299249395969	0.011061338711434113	SMC3-S1083	-7.005472250534402	9.069055475028187E-4
ATM	phosphorylates	SMC3	S1083	ATM-S1981	-4.504299249395969	0.011061338711434113	SMC3-S1083-S1086	-100.0	0.0
RPS6KA3	phosphorylates	GSK3A	S21	RPS6KA3-T365-S369	-4.409268690518191	0.012164070778250262	GSK3A-S21	-5.346937067723576	0.00476271655963588
PKN1	phosphorylates	MEFV	S208;S242	PKN1-T774	-7.330671646006237	6.551334215783714E-4	MEFV-S242	-5.10720061053169	0.006053003943778336
RPS6KA3	phosphorylates	CIC	S173	RPS6KA3-T365-S369	-4.409268690518191	0.012164070778250262	CIC-S173	-5.638922342810967	0.0035566992441953115
MAPKAPK2	phosphorylates	TRIM28	S473	MAPKAPK2-T222	-4.817492341553872	0.008087041270610313	TRIM28-S473	-5.183104944667364	0.005610558866751976
DYRK1A	phosphorylates	SRSF6	S303	DYRK1A-Y321-S324	-4.491526399630454	0.011203529687842072	SRSF6-S303	-6.233243796311145	0.001963073746145616
RPS6KA3	phosphorylates	EIF4B	S422	RPS6KA3-T365-S369	-4.409268690518191	0.012164070778250262	EIF4B-T420-S422	-4.958956900294772	0.007020246832099874
PRKAR1A	phosphorylates	ITGA4	S1021	PRKAR1A-S77-S83	-9.863682044311702	5.203041823705021E-5	ITGA4-S1021-S1023	-5.237540311638792	0.005313309862528909
CHEK1	phosphorylates	MKI67	T1764	CHEK1-S280	-7.538721514388325	5.320774404884089E-4	MKI67-T1764	7.208799778787749	7.400448401624349E-4
RPS6KA3	phosphorylates	LCP1	S5	RPS6KA3-T365-S369	-4.409268690518191	0.012164070778250262	LCP1-S5	-5.828229621914389	0.002943283094358597
ATM	phosphorylates	NHEJ1	S251	ATM-S1981	-4.504299249395969	0.011061338711434113	NHEJ1-S251	-6.279560642909774	0.0018742238668984295
DYRK1A	phosphorylates	SF3B1	T434;T273	DYRK1A-Y321-S324	-4.491526399630454	0.011203529687842072	SF3B1-T434	-5.962738007600073	0.0025728578150149054
CHEK2	phosphorylates	TRIM28	S473	CHEK2	-100.0	0.0	TRIM28-S473	-5.183104944667364	0.005610558866751976
MAPKAPK2	phosphorylates	PARN	S557	MAPKAPK2-T222	-4.817492341553872	0.008087041270610313	PARN-S557	-4.8976853831454905	0.0074638390203605205
CHEK2	phosphorylates	OTUD7B	S100	CHEK2	-100.0	0.0	OTUD7B-S100-S103	-7.972179765860768	3.449263072714727E-4
